name,prep_time,portion,difficulty,description,category1,category2,photo
"Homemade protein shake","5 minutes",1,"easy","Blend all the ingredients together until smooth, pour into a glass and serve immediately.","snack",,"b9y1ky92ryu5sy6hnpvg.jpg"
"Veggie protein chilli","40 minutes",2,"difficult","Heat the oil in a large saucepan and add the onion, chilli and garlic and cook without colouring for 1-2 mins. Tip in the sweet potato, spices and some seasoning, then pour in the beans and chopped tomatoes. Fill one of the empty cans with water and add to the pan, then bring to the boil and turn down to a simmer.Cook for 45-50 mins or until the sweet potato is soft and the sauce has reduced, add some water if the sauce looks a bit thick. Stir through the lime juice, season to taste and serve with cauliflower rice.","lunch","dinner","wyiehcxym40wstplr01f.jpg"
"Breakfast smoothie","5 minutes",1,"easy","Slice the banana into your blender or food processor and add the berries of your choice. Whizz until smooth. With the blades whirring, pour in juice or water to make the consistency you like. Toss a few extra fruits on top, drizzle with honey and serve.","breakfast","snack","sueurr3gmf2lvjqmzpl.jpg"
"Chicken satay salad","10 minutes",2,"medium","Pour the tamari into a large dish and stir in the curry powder, cumin, garlic and honey. Mix well. Slice the chicken breasts in half horizontally to make 4 fillets in total, then add to the marinade and mix well to coat. Set aside in the fridge for at least 1 hr, or overnight, to allow the flavours to penetrate the chicken. Meanwhile, mix the peanut butter with the chilli sauce, lime juice, and 1 tbsp water to make a spoonable sauce. When ready to cook the chicken, wipe a large non-stick frying pan with a little oil. Add the chicken and cook, covered with a lid, for 5-6 mins on a medium heat, turning the fillets over for the last min, until cooked but still moist. Set aside, covered, to rest for a few mins. While the chicken rests, toss the lettuce wedges with the cucumber, shallot, coriander and pomegranate, and pile onto plates. Spoon over a little sauce. Slice the chicken, pile on top of the salad and spoon over the remaining sauce. Eat while the chicken is still warm.","lunch","dinner","rerrtcqjhhyfwhzrchlk.jpg"
"Lemon & coriander hummus","5 minutes",6,"Easy","Put everything but the coriander into a food processor, then whizz to a fairly smooth mix. Scrape down the sides of the processor if you need to. Season the hummus generously, then add the coriander and pulse until roughly chopped. Spoon into a serving bowl, drizzle with olive oil, then serve.","snack",,"fukpdicuvkstbbreebyk.jpg"
"Instant frozen berry yogurt","2 minutes",4,"Easy","Blend berries, yogurt and honey or agave syrup in a food processor for 20 seconds, until it comes together to a smooth ice-cream texture. Scoop into bowls and serve.","snack",,"fwj5sndflujktklazvis.jpg"
"Stuffed jacket potatoes","1 hour",4,"Easy","Heat the oven to 200C/180C fan/gas 6 and bake the potatoes for about 1 hr until cooked and the skins are crispy. Leave to cool completely. This can be done up to 2 days ahead. To stuff the jacket potatoes, heat the oven to 200C/180C fan/gas 6. Ask an adult to cut the potatoes in half. Using a spoon, carefully scoop out the middle of the potato, leaving the skin unbroken (like a boat). Place the scooped potato into a mixing bowl. Using the fork, mash the potato until there are no lumps. Add the cheese, sweetcorn and peppers and mix well. Gently pick the leaves from the herbs. You can rip the larger leaves into smaller pieces. Stir the herbs into the cheesy potato mixture. Using the spoon, carefully scoop the mixture back into the potato boats. Make sure that you use all the mixture up. Sprinkle with a little extra grated cheese and place on a baking tray. Using oven gloves, place the tray in the oven and bake for 10-15 mins until golden.","snack","lunch","hvlgxydzruf3kxl8tyyo.jpg"
"Easy hummus recipe","5 minutes",4,"Easy","Drain the chickpeas into a sieve set over a bowl or jug to catch the liquid. Tip the chickpeas, tahini, garlic and yogurt into a food processor or blender and whizz to smooth. Whizz in a tbsp of the chickpea liquid at a time until you have a nice consistency, then scrape into a bowl. Stir in a squeeze of lemon juice and season to taste.","snack",,"a8c6f5bsnrertode9e8v.jpg"
"Curried chicken & mango salad","40 minutes",2,"Easy","Heat oven to 200C/180C fan/gas 6. Toss the chicken in the oil and 1 tsp of the curry powder, season and mix well to coat. Put the chicken on a foil-lined baking tray and bake for 20 mins until cooked through. Leave to cool a little, then slice. Meanwhile, make the dressing. In a bowl, combine the remaining curry powder with the yogurt, chutney and lime zest and juice (add 1 tbsp water if the dressing is a little thick). To serve, arrange the lettuce leaves on 2 plates. Top with the mango and cooked chicken, then drizzle with the dressing. Scatter with the red onion and sesame seeds before serving.","lunch","dinner","fosbrvmtrangqzrupfl8.jpg"
"Thai squash soup","35 minutes",4,"Easy","Fry the onion and most of the chilli in a large pan with a splash of water for 2-3 mins until softened – add more water if it starts to catch. Tip in the squash and stir. Cover with 1 litre water, bring to the boil and simmer for 15 mins until the squash is tender. Add lime juice, remove from the heat and blitz with a hand blender until smooth. Pour in the coconut milk, season, then return to the heat to gently warm through. Ladle into bowls and serve with coriander and the remaining chilli","lunch","dinner","pknbxa3t1ldfcryqks3o.jpg"
"Favourite pasta salad","22 minutes",4,"Easy","Cook the pasta, adding the peas for final 2 mins cooking time. Drain, rinse with cold water to cool, then drain again. Tip into a bowl with the chopped herbs, lemon zest and juice, olive oil and plenty of seasoning and mix well. Cover and chill, spooning out portions as and when. If you're making this for one person, by days 3 and 4 you'll need to stir in a little olive oil or something creamy to loosen the pasta.","lunch","dinner","rxhgkmrmqvhdhthymsxc.jpg"
"Two bean, potato & tuna salad","25 minutes",4,"Easy","Put the potatoes in a pan of boiling water, then boil for 6-8 mins until almost tender. Add both types of beans, then cook for a further 5 mins until everything is cooked. Meanwhile, make the dressing. Whisk together the harissa and vinegar in a small bowl with a little seasoning. Whisk in the oil until the dressing is thickened. Drain potatoes well, toss with half of the dressing, then leave to cool. Flake the tuna, then fold into the potatoes. Add the remaining dressing. then gently toss. Divide between 4 bowls and serve each portion with a handful of rocket or watercress on top. Serve warm or cold.","lunch","dinner","epgoglqm8odjgrl8xv2g.jpg"
"Moroccan turkey salad","35 minutes",4,"Easy","Tear the pitta into pieces and fry in the olive oil until crisp. Tip into a bowl, then fry the aubergine for 10 mins until soft. Add to the pitta with the harissa, tomatoes, turkey and rocket. Toss well. Scatter over pomegranate seeds and mint leaves.","lunch","dinner","zjmwrqy71wvxchbntrnj.jpg"
"Courgette & tomato soup","45 minutes",4,"Easy","Melt the butter in a large pan, add the onions and courgettes, and cook for 5 mins on a medium heat, stirring occasionally. Add the tomatoes and flour. Cook for a couple of mins, stirring around to stop the flour from becoming lumpy. Add the turmeric and stock, cover and simmer for 30 mins. Puree with a stick blender, then sieve if you want a really smooth texture. Serve hot with crusty bread, if you like, or chill, then freeze for up to 2 months.","lunch","dinner","mb5ruj9ratdwxqeeykl1.jpg"
"Apple & linseed porridge","10 minutes",4,"Easy","In a medium saucepan, mix the oats, apples, cinnamon and milk. Bring to the boil, stirring occasionally, then turn down the heat and cook for 4-5 mins, stirring constantly. Stir in the ground linseeds, then divide into 4 breakfast bowls. Top each with a dollop of yogurt, a drizzle of honey or agave syrup, and a sprinkle more cinnamon.","breakfast",,"h9rw5v6ekn2mdfkno1ol.jpg"
"Baked eggs with spinach & tomato","20 minutes",4,"Easy","Heat oven to 200C/180C fan/gas 6. Put the spinach into a colander, then pour over a kettle of boiling water to wilt the leaves. Squeeze out excess water and divide between 4 small ovenproof dishes. Mix the tomatoes with the chilli flakes and some seasoning, then add to the dishes with the spinach. Make a small well in the centre of each and crack in an egg. Bake for 12-15 mins or more depending on how you like your eggs. Serve with crusty bread, if you like.","breakfast","lunch","npaat8jic5tv9l2hjeys.jpg"
"Mushroom & basil omelette","20 minutes",2,"Easy","Heat the grill to its highest setting and place the tomatoes on a square of foil underneath, turning occasionally to prevent burning. When the tomatoes are slightly scorched, remove from the grill, squashing them slightly to release the juices. Break the eggs into a bowl and mix with a fork. Add a small splash of water and mix. Add the chives and some black pepper, and beat some more. Set aside while you prepare the mushrooms. In a non-stick frying pan, heat the butter over a medium heat until foaming. Add the mushrooms and cook for 5-8 mins until tender, stirring every few mins. Remove and set aside. Briskly stir the egg mixture, then add to the hot pan (tilting it so that the mixture covers the entire base) and leave for 10 secs or so until it begins to set. With a fork, gently stir the egg here and there so that any unset mixture gets cooked. While the egg mixture is still slightly loose, spoon the mushroom mix onto one side of the omelette, and top with the cream cheese and basil leaves. Flip the other side of the omelette over to cover, if you like. Leave to cook for 1 min more, then cut in half and slide each half onto a plate. Serve immediately with the tomatoes on the side.","breakfast","lunch","xpz1kw49mazzxtqcjcqm.jpg"
"Fruit & nut granola","25 minutes",14,"Easy","Heat oven to 160C/fan 140C/gas 3. Heat the oil, honey and maple syrup together in a pan. Mix the oats, almonds, pine nuts and sesame seeds in a large mixing bowl. Pour over the honey mix, stir well to coat, then tip onto a large baking tray. Bake for 15 mins until everything is golden and crisp. Take the tray from the oven, leave to cool, then break up any big clumps. Mix together with the dried fruit. The rest of the granola can be stored in a sealed jar and enjoyed over the next 2 weeks.","breakfast","snack","bhewhtwy5bh6getl4dvl.jpg"
"Fruitburst muffins","40 minutes",12,"Easy","Preheat the oven to 200C/gas 6/ fan 180C and very lightly butter a 12-hole muffin tin. Sift the flour and baking powder into a bowl. In another bowl, lightly beat the eggs, then stir in the melted butter, milk and honey. Add to the flour with the remaining ingredients. Combine quickly without overworking (it’s fine if there are some lumps left – you want it gloopy rather than fluid). Spoon the mixture into the muffin tin. Bake for 20-25 minutes until well risen and pale golden on top. Leave in the tin for a few minutes before turning out. When cool, they’ll keep in an airtight tin for two days. Can be frozen for up to 1 month.","breakfast","dessert","qoszrtstdhrkyqjhlo48.jpg"
"Mexican egg roll","15 minutes",2,"easy","Beat the egg with 1 tbsp water.Heat the oil in a medium non-stick pan. Add the egg and swirl round the base of the pan, as though you are making a pancake, and cook until set. There is no need to turn it.Carefully tip the pancake onto a board, spread with the salsa, sprinkle with the coriander, then roll it up. It can be eaten warm or cold – you can keep it for 2 days in the fridge.","snack","dessert","qfx5o3r8prqm1o8xmbor.jpg"
"Crunchy prawn & noodle","15 minutes",2,"easy","Soak the noodles in boiling water following the pack instructions. Drain and run under cold water until cool, then drain well again. Mix the noodles with the carrots, spring onions, coriander, mint and prawns. In a small bowl, whisk the remaining ingredients together, pour over the noodle salad and toss well to coat. Store in containers until ready to eat.","lunch","snack","dnllpncsabmtwdufqoxs.jpg"
"Cloud bread","30 minutes",1,"easy","Heat oven to 150C/130C fan/gas 2 and line two large baking sheets with baking paper, then grease well with butter or oil. In a large bowl and using electric beaters, whisk the egg whites together until stiff peaks form. You should be able to carefully turn the bowl upside down without it falling out. In another bowl, put the egg yolks, cream cheese and cream of tartar then whisk together (no need to wash the beaters first) until smooth, pale and frothy.Next, fold the egg whites, a spoonful at a time into the yolk mixture, be as gentle as you can with this so you don t knock out too much of the air and finally fold in the nigella seeds and season with salt and pepper. Carefully dollop the mixture onto the prepared baking sheets, if the mixture is a little runny when you get to the bottom of the bowl don t use the last few spoonfuls only use the really fluffy mix on the top. Bake for 20 mins or until lightly golden and craggy on top. Allow to cool for a few moments before carefully removing from the paper with a palette knife.","snack",,"edmbf7j79khiz0nbmx0e.jpg"
"Paillard of chicken","20 minutes",6,"easy","Place each chicken breast between 2 sheets of cling film or baking parchment. Use a meat mallet or rolling pin to bash each piece of chicken flatten out to an even layer about 0,5cm thick.Transfer to a dish.To make the marinade, crush the garlic with a good pinch of salt using a pestle and mortar.Add the rosemary and sage, and give everything a good pounding. Stir through the lemon zest and juice, olive oil and some ground black pepper. Pour the marinade over the chicken, ensuring that it s well coated. Cover and chill for at least 2 hrs.Heat the barbecue. Once the flames have died down, spread the coals out to an even layer. Cook the chicken for 1-2 mins each side.Transfer to a board and leave to rest for a few mins. Meanwhile, pour the oil and balsamic vinegar into a large bowl. Add the rocket and some seasoning. Toss together, then shave over the Parmesan. Serve the salad with the chicken, with lemon wedges to squeeze over.","dinner","lunch","kl03x7qcru3hvibt2csf.jpg"
"Greek salad omelette","20 minutes",2,"easy","Heat the grill to high. Whisk the eggs in a large bowl with the chopped parsley, pepper and salt, if you want. Heat the oil in a large non-stick frying pan, then fry the onion wedges over a high heat for about 4 mins until they start to brown around the edges. Throw in the tomatoes and olives and cook for 1-2 mins until the tomatoes begin to soften. Turn the heat down to medium and pour in the eggs.Cook the eggs in the pan, stirring them as they begin to set, until half cooked, but still runny in places about 2 mins.Scatter over the feta, then place the pan under the grill for 5-6 mins until omelette is puffed up and golden. Cut into wedges and serve straight from the pan.","lunch","dinner","ezbrf1twphrgkkqjiotj.jpg"
"Aubergine melts","30 minutes",4,"easy","Heat oven to 200C/fan 180C/gas 6.Drizzle the oil over the aubergine and bake in the oven for 25 mins until softened.Meanwhile, slice the tomatoes and mozzarella, then arrange on top of the aubergine.Return to oven for another 5 mins or until the cheese has melted.Scatter over some basil leaves.Serve with couscous and green salad.","lunch","dinner","vvbm3oaifl2jbnivcwxf.jpg"
"Prawn & bacon frittata","35 minutes",2,"easy","Heat grill to medium.In a 20cm frying pan, fry the onion and chorizo in the oil over a low heat.Cook for 4-5 mins, stirring occasionally until the onion is soft.Take the pan off the heat, pour out any excess fat from the chorizo, then stir in the beaten eggs and milk with some seasoning.Stir in the prawns and peas and return to a low heat for 10-12 mins until all but the very top of the frittata is set. Flash it under the grill until golden (keep the handle away from the heat).Serve in wedges with a leafy salad.","lunch","dinner","x9ou685dp7kxuonlkreb.jpg"
"Healthy banana bread","20 minutes",10,"easy","Heat oven to 160C/140C fan/gas 3. Grease and line a 2lb loaf tin with baking parchment (allow it to come 2cm above top of tin). Mix the flours, bicarb, baking powder and a pinch of salt in a large bowl. Mix the bananas, syrup, eggs and yogurt. Quickly stir into dry ingredients, then gently scrape into the tin and scatter with nuts, if using. Bake for 1 hr 10 mins-1 hr 15 mins or until a skewer comes out clean.Cool in tin on a wire rack. Eat warm or at room temperature, with low-fat spread.","dessert","snack","tqh3ccnvx3kxmnxeupqy.jpg"
"Superhealthy salmon burgers","30 minutes",4,"easy","Tip the salmon into a food processor with the paste, ginger, soy and chopped coriander. Pulse until roughly minced. Tip out the mix and shape into 4 burgers. Heat the oil in a non-stick frying pan, then fry the burgers for 4-5 mins on each side, turning until crisp and cooked through.","dinner","lunch","rsrhvc2l3mxkiqlfsrj1.jpg"
"Sugar-free carrot cake","15 minutes",7,"easy","Preheat the oven to 180C/ 160C fan/ Gas mark 4. Grease and line an 18cm round cake tin with baking parchment. Set aside 12 pecans and roughly chop the rest.In a large bowl, mix together the flour, cinnamon, bicarbonate of soda, xylitol and chopped pecans.In a separate bowl or jug, beat the eggs and rapeseed oil together. Pour into the flour mixture and stir until combined. Stir through the carrot and sultanas. Spoon into the lined tin, smooth the surface and press whole pecans to form a circle around the edge.Cook for 1 hour - 1 hour 10 mins until the top feels springy to the touch and a skewer inserted into the cake comes out clean. Check after 50 mins, if the cake is becoming too dark, cover loosely with foil. Cool on a wire rack for 10 minutes, then turn out and allow to cool. Serve slightly warm or cold. This cake keeps for up to five days in a tin. Before serving, drizzle with agave syrup if you have a sweet tooth.","dessert",,"uwu5odxrjumblr1ot2qt.jpg"
